,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",-5.401869703833365,-5.421692782315019,-5.396973472152594,-5.435559038512458
"[40.0, 0.0, 80.0, 40.0]",-5.335886793908308,-5.828730726769613,-5.291863798265359,-5.3318542231962995
"[80.0, 0.0, 120.0, 40.0]",-5.021290451924274,-5.069253793819216,-5.049788280294752,-5.123438297568861
"[120.0, 0.0, 160.0, 40.0]",-4.8643937165618185,-4.812864729392416,-4.84747425866442,-4.858116282539543
"[160.0, 0.0, 200.0, 40.0]",-4.510019691129597,-4.509669583127456,-4.54168493526983,-4.649454885865966
"[200.0, 0.0, 240.0, 40.0]",-4.312881584650555,-4.320238240499404,-4.284592393200204,-4.3726651600343445
"[240.0, 0.0, 280.0, 40.0]",-3.8399494531335963,-3.8417838872361423,-3.863614898329712,-4.155847636212596
"[40.0, 40.0, 80.0, 80.0]",-8.559490874988189,-8.576848255191047,-8.567014543319708,-8.577842846357026
"[40.0, 80.0, 80.0, 120.0]",-8.560383100365886,-8.52374120154656,-8.54492891948744,-8.518929893559914
"[80.0, 80.0, 120.0, 120.0]",-8.518767889670364,-8.530788497589185,-8.517937051016352,-8.52329513097291
"[120.0, 80.0, 160.0, 120.0]",-8.5166168427926,-8.50284482516713,-8.514474694547786,-8.529576013748308
"[80.0, 120.0, 120.0, 160.0]",-8.506327759388,-8.511219497991005,-8.523834127790531,-8.517766865023612
"[80.0, 160.0, 120.0, 200.0]",-8.516525030848255,-8.486402151686084,-8.496801211223639,-8.497464314550363
"[40.0, 160.0, 80.0, 200.0]",-8.502915210807679,-8.512670051352005,-8.476609406048606,-8.48883990928841
"[40.0, 200.0, 80.0, 240.0]",-8.482014468845076,-8.48516556879814,-8.487560001905926,-8.479318308915051
"[40.0, 240.0, 80.0, 280.0]",-8.469385883029277,-8.457485321380785,-8.502037861086343,-8.464960326952264
"[80.0, 240.0, 120.0, 280.0]",-8.491292836590054,-8.477164672740269,-8.503868749010302,-8.482025918678714
"[40.0, 120.0, 80.0, 160.0]",-8.52815764700437,-8.507867508293005,-8.524021035752464,-8.513692326099074
"[120.0, 120.0, 160.0, 160.0]",-8.511127992736634,-8.493378236851452,-8.504942598119207,-8.494149970325289
"[160.0, 80.0, 200.0, 120.0]",-8.480792781210468,-8.49260998303814,-8.489455262595362,-8.524405430103583
"[120.0, 160.0, 160.0, 200.0]",-8.48634982228592,-8.492239983493993,-8.48428127743316,-8.50599984277326
"[160.0, 160.0, 200.0, 200.0]",-8.482987976741322,-8.521879125584938,-8.49354376660282,-8.470571618085298
