,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",-0.5279744821165143,-6.575370801527403,1.1181211331110146,-0.8828333053996891
"[40.0, 0.0, 80.0, 40.0]",0.9356771923964646,-9.22772016411602,2.3534679256789057,0.7092953226482509
"[80.0, 0.0, 120.0, 40.0]",1.4570166004309586,0.8043087378040368,3.7260754729765626,0.3443102835597518
"[120.0, 0.0, 160.0, 40.0]",3.002034877700914,3.1799334719461068,5.25119496997396,0.7098763005537134
"[160.0, 0.0, 200.0, 40.0]",4.6822351690356,3.524134836558759,6.945772188859957,3.123949976807177
"[200.0, 0.0, 240.0, 40.0]",5.448941768330907,6.1151035412903685,8.828635765399953,4.936469761281567
"[240.0, 0.0, 280.0, 40.0]",7.029873509941321,7.004815870719412,10.920706405999951,6.623190244807423
"[40.0, 40.0, 80.0, 80.0]",-9.329882565277957,-9.326441689596537,-9.329071819881815,-9.3201493721213
"[40.0, 80.0, 80.0, 120.0]",-9.313195734471947,-9.321332052529385,-9.313431519646077,-9.318781410344563
"[80.0, 80.0, 120.0, 120.0]",-9.310613657089009,-9.319494213256172,-9.312412301763237,-9.312797359805352
"[120.0, 80.0, 160.0, 120.0]",-9.310163280345119,-9.313054147010943,-9.311141658916686,-9.316085558667963
"[80.0, 120.0, 120.0, 160.0]",-9.3251347564281,-9.308848735293799,-9.308852684002394,-9.306394729012615
"[80.0, 160.0, 120.0, 200.0]",-9.30871695296303,-9.31070530826657,-9.317983557608319,-9.31219237277465
"[40.0, 160.0, 80.0, 200.0]",-9.31490541362506,-9.314350200687969,-9.322510774100175,-9.311054414594532
"[40.0, 200.0, 80.0, 240.0]",-9.312491931828234,-9.305598594327693,-9.309899228522353,-9.305323904571512
"[40.0, 240.0, 80.0, 280.0]",-9.302848382797894,-9.296760840336804,-9.30430896611785,-9.299403865386594
"[80.0, 240.0, 120.0, 280.0]",-9.30942377588035,-9.300613983015575,-9.308615887978384,-9.299401965722868
"[40.0, 120.0, 80.0, 160.0]",-9.308319270957018,-9.32060004744417,-9.313779189752307,-9.317487349865527
"[120.0, 120.0, 160.0, 160.0]",-9.314497438685395,-9.304583226034541,-9.309422847016254,-9.309156901325721
"[160.0, 80.0, 200.0, 120.0]",-9.312543273563483,-9.304711715797874,-9.310859364696837,-9.315536934167682
"[120.0, 160.0, 160.0, 200.0]",-9.312169152012613,-9.304775269475684,-9.307352801729184,-9.311968989847033
"[160.0, 160.0, 200.0, 200.0]",-9.293044466489157,-9.305670530734014,-9.300738554257212,-9.305272240166902
"[160.0, 200.0, 200.0, 240.0]",-9.302351990174946,-9.303861741470289,-9.30055648302027,-9.298814274818191
"[200.0, 200.0, 240.0, 240.0]",-9.292955687283108,-45.705032704000004,-9.292951619332118,-9.30332287476451
"[120.0, 200.0, 160.0, 240.0]",-9.311976949177884,-9.30199003227399,-9.306958530479383,-9.30538118056391
"[120.0, 240.0, 160.0, 280.0]",-9.31689048907173,-9.309955615996781,-9.309943167521118,-9.305975653991533
"[80.0, 200.0, 120.0, 240.0]",-9.312558575823642,-9.307442340737369,-9.30840887670476,-9.30736744066262
"[160.0, 240.0, 200.0, 280.0]",-9.293546432085796,-9.305822574158015,-46.564026163200005,-9.319677471082406
"[160.0, 120.0, 200.0, 160.0]",-9.31042461631057,-9.307072711494497,-9.304061852580611,-9.302236232420853
"[200.0, 160.0, 240.0, 200.0]",-9.298671449696126,-9.299153715725723,-9.296689873794017,-9.295271249545484
"[200.0, 120.0, 240.0, 160.0]",-9.304256021283877,-9.297543543654879,-9.304586458830274,-9.31035263001132
"[200.0, 80.0, 240.0, 120.0]",-9.314347064637971,-9.306523198697576,-9.315796028533674,-9.314043847589584
"[0.0, 40.0, 40.0, 80.0]",-6.422111910441003,-5.948007407381287,-6.594948291679166,-6.424549840440251
terminal,0.0,0.0,0.0,0.0
"[0.0, 80.0, 40.0, 120.0]",-6.136479322047252,-5.009982401742376,-6.513889041436316,-6.04482836082244
"[280.0, 0.0, 320.0, 40.0]",10.705491764402787,7.113060316145388,13.245229339999948,7.577507582046085
"[320.0, 0.0, 360.0, 40.0]",10.495915245872359,15.828032599999947,12.34269692673499,9.364082217398808
"[320.0, 40.0, 360.0, 80.0]",14.208938149014612,18.697813999999944,13.296798975573239,8.52626559150428
"[280.0, 40.0, 320.0, 80.0]",-3.1439699889612642,-3.168742739267129,15.319948262772094,-3.26458093354402
"[280.0, 80.0, 320.0, 120.0]",-2.9604522058051868,1.7676288540367588,17.07217387921863,2.5410234932983804
"[320.0, 80.0, 360.0, 120.0]",15.022806310095627,21.886459999999946,13.12151653646593,10.871751224111263
"[320.0, 120.0, 360.0, 160.0]",17.973427406572007,25.429399999999948,21.373546843177557,13.14544829664315
"[320.0, 160.0, 360.0, 200.0]",21.02658029788798,29.36599999999995,24.23999612054402,10.391877588853662
"[320.0, 200.0, 360.0, 240.0]",18.078049738838875,33.73999999999995,28.786602938479724,12.19663136906762
"[320.0, 240.0, 360.0, 280.0]",25.89680790334455,38.59999999999996,32.05903898443425,19.85007041468683
"[320.0, 280.0, 360.0, 320.0]",24.772989509221908,43.99999999999997,33.39234731397361,19.099861004795148
"[280.0, 280.0, 320.0, 320.0]",9.242534128588549,-0.2,33.62471707734427,-0.36000000000000004
"[280.0, 240.0, 320.0, 280.0]",-0.7548717601280001,5.200606142402463,31.36720815523663,-0.8151392000000001
"[280.0, 320.0, 320.0, 360.0]",5.468561342402462,3.5757965418496007,43.9988252222389,6.503489937959962
"[240.0, 280.0, 280.0, 320.0]",-0.396,-0.5528,-0.396,-0.396
"[240.0, 320.0, 280.0, 360.0]",-0.396,16.191731281524238,38.590199363223455,6.862105313562161
"[200.0, 320.0, 240.0, 360.0]",-0.823664,8.178909484120522,33.69238638451327,4.1633869318574055
"[200.0, 280.0, 240.0, 320.0]",-18.0,-0.616304,-0.42479999999999996,-0.396
"[320.0, 320.0, 360.0, 360.0]",49.999999999999986,48.59262511644672,49.0992800745259,46.564026163200005
"[0.0, 120.0, 40.0, 160.0]",-5.65960648250012,-3.6939641824009577,-5.705163488510334,-5.6751561016651255
"[0.0, 160.0, 40.0, 200.0]",-5.3247690943828,-1.8960907066767902,-7.1785508862756755,-5.282080685993978
"[280.0, 120.0, 320.0, 160.0]",-2.143676115722359,-2.1084574470832242,20.570236774685913,-2.1383401072365222
"[280.0, 160.0, 320.0, 200.0]",-1.5601450140827466,-1.61270690531328,21.885081132988233,-1.6312698595016193
"[280.0, 200.0, 320.0, 240.0]",2.202105322258071,-0.8614644963885056,23.415156265241755,-1.2609568294400002
"[240.0, 240.0, 280.0, 280.0]",-0.58808,-0.58808,-0.36343646438850563,-10.0
"[0.0, 200.0, 40.0, 240.0]",-4.8682826697922,0.6104052707105951,-4.973975799496463,-4.850170686955641
"[0.0, 240.0, 40.0, 280.0]",-4.40430520030215,3.8285647624306973,-5.894184040788876,-4.449861423532632
"[0.0, 280.0, 40.0, 320.0]",-3.8741681343945613,7.774811330070873,-3.8421966349092154,-2.8715013138612075
"[0.0, 320.0, 40.0, 360.0]",-2.9959045934606783,-0.8011655260149726,12.068081233378601,-3.0898843563337546
"[40.0, 320.0, 80.0, 360.0]",-2.9067823381935405,-2.7162345693300676,16.432503465360607,3.3032043076310433
"[80.0, 320.0, 120.0, 360.0]",0.2932458066201531,-2.238459954308659,20.7193164710959,-2.344391227785627
"[120.0, 320.0, 160.0, 360.0]",0.114563845275647,6.650759283346128,24.93237791515832,-1.723353859716701
"[160.0, 320.0, 200.0, 360.0]",4.02439997846176,7.729424605892405,29.163564656889008,8.3225178523448
