,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",-6.689962725214088,-6.876538441543342,-3.7322204783857216,-6.12410886453023
"[0.0, 40.0, 40.0, 80.0]",-6.560549778988144,-6.556790481198851,-7.488754359684361,-6.561446887592694
"[40.0, 40.0, 80.0, 80.0]",-9.319837876015768,-9.320159234549305,-9.314539742157871,-9.332706590002887
"[40.0, 80.0, 80.0, 120.0]",-9.310971543793713,-9.31972628815076,-9.30856606369111,-9.32036266086897
"[40.0, 120.0, 80.0, 160.0]",-9.318776011662722,-9.315292420569849,-9.319499485835646,-9.334579565964221
"[80.0, 120.0, 120.0, 160.0]",-9.314055041512098,-9.319419036394516,-9.30844687688556,-9.319058886273355
"[80.0, 80.0, 120.0, 120.0]",-9.317378270623005,-9.312137141930199,-9.310006236312073,-9.302322243064967
"[80.0, 160.0, 120.0, 200.0]",-9.323003991637941,-9.329781986562004,-9.317144007539016,-9.314672396735551
"[120.0, 80.0, 160.0, 120.0]",-9.300157928081326,-9.305298014571108,-9.294376162239796,-9.300044967269477
"[160.0, 80.0, 200.0, 120.0]",-9.28984185607972,-9.285067413261734,-9.305018919678355,-9.279739200795259
"[120.0, 120.0, 160.0, 160.0]",-9.307221759636366,-9.308582918800557,-9.314776040066585,-9.305171849351355
"[160.0, 120.0, 200.0, 160.0]",-9.295642892366606,-9.308943820166176,-9.296766136412892,-9.301881005033273
"[160.0, 160.0, 200.0, 200.0]",-9.311100889228818,-9.323590606863888,-9.467858918233006,-9.32263163342979
"[160.0, 200.0, 200.0, 240.0]",-9.331617474849116,-9.33608715046889,-9.341335671002424,-9.341888093933782
"[200.0, 200.0, 240.0, 240.0]",-9.531308791654421,-39.51424,-12.537888508904778,-9.343390617617048
"[200.0, 160.0, 240.0, 200.0]",-9.277630109742626,-11.698551400352146,-9.285870052074118,-9.284838299139851
terminal,0.0,0.0,0.0,0.0
"[40.0, 0.0, 80.0, 40.0]",-5.289744658914707,-8.276393549095278,-2.8469779521967613,-5.710002340820538
"[80.0, 0.0, 120.0, 40.0]",-4.365013466620637,-4.81446728638923,-1.4394250594735134,-6.045663628834888
"[40.0, 160.0, 80.0, 200.0]",-9.322466267278626,-9.328957472871393,-9.315716404486839,-9.338068726277463
"[120.0, 160.0, 160.0, 200.0]",-9.32072970483808,-9.323566636208627,-9.31221655068209,-9.32570652162352
"[80.0, 200.0, 120.0, 240.0]",-9.32558041885534,-9.333304735680032,-9.328520931433069,-9.336874140748087
"[80.0, 240.0, 120.0, 280.0]",-9.334535819914668,-9.338488758477585,-9.327736655091337,-9.329720917554912
"[40.0, 240.0, 80.0, 280.0]",-9.330938654145879,-9.340232447544997,-9.336611736175335,-9.336410302599502
"[120.0, 200.0, 160.0, 240.0]",-9.3277740765862,-9.336073752392128,-9.3338312442587,-9.337051736308625
"[120.0, 240.0, 160.0, 280.0]",-9.341752124990457,-9.326651368703137,-9.32660967907367,-9.319792659645154
"[160.0, 240.0, 200.0, 280.0]",-9.336187626759491,-10.28069100817072,-33.616,-9.327427910460711
"[40.0, 200.0, 80.0, 240.0]",-9.330396619920753,-9.331583853259508,-9.337025727043716,-9.332889249633244
"[200.0, 120.0, 240.0, 160.0]",-9.289234323704349,-9.29536207638083,-9.305330962879877,-9.285943479020867
"[120.0, 0.0, 160.0, 40.0]",-4.389654046691556,-4.251657783070241,-0.03330773454855927,-4.954655895450125
"[160.0, 0.0, 200.0, 40.0]",-5.215584923933861,-1.8488607311501717,0.6707947731531055,-3.592419703997187
"[200.0, 0.0, 240.0, 40.0]",-2.63101827689049,-1.6874770023130097,1.970780502964355,-4.009656095681268
"[240.0, 0.0, 280.0, 40.0]",0.7416818174350339,0.46707445043992424,3.5571588272312997,-3.2793895493344607
"[200.0, 80.0, 240.0, 120.0]",-9.297249434525792,-9.299572329660204,-9.293193097982439,-9.296576163248194
"[0.0, 80.0, 40.0, 120.0]",-6.243345823459438,-6.188946717298272,-7.540711469558922,-6.30463123470376
"[0.0, 120.0, 40.0, 160.0]",-5.916458554676764,-5.790902680354233,-6.7289311019689615,-5.879046300693093
"[280.0, 0.0, 320.0, 40.0]",-0.0573366867892624,1.887883682970057,5.142174549389242,-1.212121878791768
"[280.0, 40.0, 320.0, 80.0]",-3.2999432680494025,-3.286485927967657,8.739670401658044,-3.443908756625094
"[280.0, 80.0, 320.0, 120.0]",-2.9101714310118783,-2.7683657145831204,4.633314204261591,-2.88604626518647
"[320.0, 80.0, 360.0, 120.0]",3.0534540021014682,15.032670654700452,5.749709509774444,-1.373367827254844
"[320.0, 120.0, 360.0, 160.0]",2.7791437977178086,17.739834733735332,7.132061745448337,3.600528391063645
"[320.0, 160.0, 360.0, 200.0]",8.783687180212981,22.023455112959315,13.783300666058748,7.127319355723761
"[320.0, 200.0, 360.0, 240.0]",9.784999598499583,31.061058093501252,11.593617130494218,0.1918467359775285
"[280.0, 200.0, 320.0, 240.0]",-1.3547992175968204,-1.40653070354432,6.712233804322498,-1.6167763330830724
"[280.0, 160.0, 320.0, 200.0]",-1.7232997029694699,-1.7166880188257854,16.062806449020357,-1.8946784782851023
"[280.0, 240.0, 320.0, 280.0]",-1.01304245090304,-0.5044870656,15.196906298249015,-0.99031392
"[320.0, 240.0, 360.0, 280.0]",14.487320166727232,35.83220575589693,10.415140831201285,1.692246870326572
"[240.0, 240.0, 280.0, 280.0]",-0.7741152,0.813700811198616,-0.6341600000000001,-10.0
"[320.0, 0.0, 360.0, 40.0]",1.6093550131883916,6.635407009619129,0.8727034796775974,-1.0217512196686276
"[320.0, 40.0, 360.0, 80.0]",2.8876650539362436,10.137367324334672,3.487132897364363,-0.006226844468925963
"[280.0, 120.0, 320.0, 160.0]",-2.340146508901405,-2.203626648152975,12.118127752462868,-2.3232574069747476
"[320.0, 280.0, 360.0, 320.0]",8.950205552925208,42.14888050017245,21.51002368940432,3.248085928928277
"[280.0, 280.0, 320.0, 320.0]",-0.50212034496,19.053889510453722,-0.396,-0.396
"[240.0, 280.0, 280.0, 320.0]",-0.524,12.363076265982826,-0.396,-0.36000000000000004
"[200.0, 280.0, 240.0, 320.0]",-10.0,0.5908733134583709,0.14018155989589437,0.0
"[320.0, 320.0, 360.0, 360.0]",43.2891136,29.52,49.999999999999986,43.2891136
"[0.0, 160.0, 40.0, 200.0]",-5.505987827711748,-5.258667439475562,-5.9474968506925725,-5.3906539749874645
"[240.0, 320.0, 280.0, 360.0]",-0.42479999999999996,0.0,36.019522764054074,-0.2
"[200.0, 320.0, 240.0, 360.0]",-0.57584,4.2074982930144476,30.31832729703636,-0.436464
"[160.0, 320.0, 200.0, 360.0]",-1.1183958144000001,-1.082256083077202,23.951156118749058,-1.1341746537126238
"[120.0, 320.0, 160.0, 360.0]",2.185381829744277,-1.8798572487666483,17.527018094133513,-1.5745502936515912
"[80.0, 320.0, 120.0, 360.0]",-2.303828222514655,-2.19221038294095,9.478983514651533,-2.157821307128291
"[280.0, 320.0, 320.0, 360.0]",0.0,-0.2,43.006580087413,8.264752575137639
"[0.0, 200.0, 40.0, 240.0]",-4.912924319413445,-4.79780481746472,-6.68025076146848,-5.032159590614154
"[0.0, 240.0, 40.0, 280.0]",-4.655802078073472,-3.163190712511931,-6.322210253653097,-4.671044510703697
"[0.0, 280.0, 40.0, 320.0]",-3.93368737024197,-0.4329301155860792,-3.956652233162189,-4.05940542990526
"[0.0, 320.0, 40.0, 360.0]",-3.3727470764981606,-3.4423885355033814,3.07905101815544,-3.3883956776923725
"[40.0, 320.0, 80.0, 360.0]",-2.903709970752897,-2.6481368443628654,6.645979970866373,-2.6352352798234895
