,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",-4.980538025741009,-6.88606139209824,-2.8366731906055644,-3.6681020101438935
"[0.0, 40.0, 40.0, 80.0]",-6.68453146649339,-7.068265060394716,-7.488754359684361,-6.673654390980499
"[40.0, 40.0, 80.0, 80.0]",-9.52101659781594,-9.526650165851269,-9.530331355303407,-9.533746171022592
"[40.0, 80.0, 80.0, 120.0]",-9.514476772562565,-9.518742500005656,-9.518629671834645,-9.523534044465615
"[40.0, 120.0, 80.0, 160.0]",-9.507779126767895,-9.509709922320608,-9.510814711377511,-9.508658724140313
"[80.0, 120.0, 120.0, 160.0]",-9.508650702252904,-9.513076902387233,-9.512444291824721,-9.510119840907294
"[80.0, 80.0, 120.0, 120.0]",-9.509690331090363,-9.516055052720104,-9.510625003919447,-9.516730050055376
"[80.0, 160.0, 120.0, 200.0]",-9.500259947136053,-9.504420302186237,-9.50209567007284,-9.504775893289983
"[120.0, 80.0, 160.0, 120.0]",-9.508741686495709,-9.51216482222011,-9.508171917017549,-9.515666394256131
"[160.0, 80.0, 200.0, 120.0]",-9.522861563019045,-9.509293269215435,-9.512130461081014,-9.514723732007774
"[120.0, 120.0, 160.0, 160.0]",-9.51104898147853,-9.509017376887511,-9.511480764991623,-9.51669537797982
"[160.0, 120.0, 200.0, 160.0]",-9.517997936229907,-9.578687406854417,-9.510749747177833,-9.514374122556237
"[160.0, 160.0, 200.0, 200.0]",-9.508013150396296,-10.050758218984093,-9.498701609361179,-9.503698237228198
"[160.0, 200.0, 200.0, 240.0]",-9.488546182084686,-12.199942576882972,-9.495802549997983,-9.496264409887306
"[200.0, 200.0, 240.0, 240.0]",-9.531308791654421,-39.51424,-12.537888508904778,-9.496165261826714
"[200.0, 160.0, 240.0, 200.0]",-9.499440557620218,-11.698551400352146,-9.499612090997307,-9.504992921968068
terminal,0.0,0.0,0.0,0.0
"[40.0, 0.0, 80.0, 40.0]",-2.7583577779850614,-9.245559373122274,-1.3279534166264957,-2.7619370851164646
