,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",-0.7763184000000001,-0.79922432,-0.8582384000000001,-0.7417440000000001
"[0.0, 40.0, 40.0, 80.0]",-0.58808,-0.6264,-0.7106525747102914,-0.58808
"[0.0, 80.0, 40.0, 120.0]",-0.27128,-0.2,-0.6936775798630486,-0.396
"[40.0, 80.0, 80.0, 120.0]",-2.410690308953942,-2.5486742397969255,-2.446157129862397,-2.4626275515290263
"[80.0, 80.0, 120.0, 120.0]",-2.3097761073989593,-2.321823349674154,-2.3674693043359714,-2.351739875808116
"[80.0, 120.0, 120.0, 160.0]",-2.273284731173746,-2.406890112028989,-2.3379709530372104,-2.3666510822067854
"[40.0, 120.0, 80.0, 160.0]",-2.480599669455638,-2.5199068569990115,-2.4116852273101275,-2.439937063580298
"[120.0, 120.0, 160.0, 160.0]",-2.263377422534665,-2.3768450454894414,-2.3312118242488786,-2.2841162441852285
"[160.0, 120.0, 200.0, 160.0]",-2.260034138334416,-2.278961633925047,-2.3289776879382793,-2.214965548130364
"[80.0, 160.0, 120.0, 200.0]",-2.4043054228391334,-2.2241128382250017,-2.490544438190959,-2.498044406733047
"[120.0, 160.0, 160.0, 200.0]",-2.392524571935893,-2.4150811315406333,-2.3388739964392773,-2.400681637332562
"[40.0, 160.0, 80.0, 200.0]",-2.4663775262814607,-2.4827413929750675,-2.44304326701801,-2.4075523512289445
"[40.0, 200.0, 80.0, 240.0]",-2.5607681844923027,-2.334833555468327,-2.2917341945757927,-2.2852719271708497
"[80.0, 200.0, 120.0, 240.0]",-2.3784796873762803,-2.287887500773323,-2.243353671063874,-2.340221170633527
"[120.0, 200.0, 160.0, 240.0]",-2.3549442697350664,-2.3211785564048544,-2.2398112926768796,-2.395697518636045
"[160.0, 200.0, 200.0, 240.0]",-2.368455188335429,-2.308479499197247,-2.3238017526007773,-2.311733451775753
"[80.0, 240.0, 120.0, 280.0]",-2.297538972629657,-2.3097761073989593,-2.346940295348223,-2.3087445255537333
"[40.0, 240.0, 80.0, 280.0]",-2.3043017746317704,-2.3086006522128653,-2.3429561215432355,-2.2817093031693307
"[120.0, 240.0, 160.0, 280.0]",-2.350173007080513,-2.2706590500691273,-2.3096844358344724,-2.3024800060981985
"[120.0, 80.0, 160.0, 120.0]",-2.270445488152612,-2.3503592511906817,-2.259785748953657,-2.3089891779012794
"[160.0, 80.0, 200.0, 120.0]",-2.1528327626519994,-2.142595292177752,-2.22762869464159,-2.281239955103808
"[160.0, 160.0, 200.0, 200.0]",-2.3358869012828967,-2.3457637033317855,-2.259130894972407,-2.396138360358867
"[200.0, 200.0, 240.0, 240.0]",-2.3941593347000443,-10.0,-2.3097761073989593,-2.4078142777220783
terminal,0.0,0.0,0.0,0.0
"[40.0, 0.0, 80.0, 40.0]",-0.58808,-1.2945992923611818,-0.66168,-0.7763184000000001
"[40.0, 40.0, 80.0, 80.0]",-2.5751117657544387,-2.5729858842034936,-2.586624167532597,-2.46358058525098
"[200.0, 120.0, 240.0, 160.0]",-2.1759713677830415,-2.3738958233767065,-2.1528327626519994,-2.3005850219682644
"[200.0, 80.0, 240.0, 120.0]",-2.123418141604048,-2.2577581885318905,-2.1528327626519994,-2.12644489099021
"[160.0, 240.0, 200.0, 280.0]",-2.3191747284783983,-2.4160531482130008,-24.4,-2.2918755011135135
"[200.0, 160.0, 240.0, 200.0]",-2.311683835487242,-2.42812323135326,-2.280949778771967,-2.3420163560407268
"[80.0, 0.0, 120.0, 40.0]",-0.7417440000000001,-0.396,-0.488,-0.618555979136
"[0.0, 120.0, 40.0, 160.0]",0.0,0.0,-0.39241615808,-0.2
"[120.0, 0.0, 160.0, 40.0]",-0.2,-0.2,-0.396,-0.42479999999999996
"[160.0, 0.0, 200.0, 40.0]",-0.396,-0.2,-0.36000000000000004,-0.2
"[200.0, 0.0, 240.0, 40.0]",-0.396,-0.396,-0.36000000000000004,-0.2
"[240.0, 0.0, 280.0, 40.0]",0.0,0.0,-0.2,-0.2
"[280.0, 0.0, 320.0, 40.0]",0.0,-0.2,0.0,0.0
"[280.0, 40.0, 320.0, 80.0]",-0.396,-0.5816,-0.488,-0.58808
"[280.0, 80.0, 320.0, 120.0]",-0.55928,-0.524,-0.6163040000000001,-0.58808
"[320.0, 80.0, 360.0, 120.0]",-0.396,-0.5528,-0.58808,-0.5816
"[280.0, 120.0, 320.0, 160.0]",-0.58808,-0.36000000000000004,-0.236,-0.396
"[320.0, 40.0, 360.0, 80.0]",-0.58808,-0.5528,-0.396,-0.396
"[280.0, 160.0, 320.0, 200.0]",-0.236,-0.36000000000000004,-0.2,-0.2
"[320.0, 160.0, 360.0, 200.0]",-0.36000000000000004,-0.2,-0.2,-0.2
"[320.0, 200.0, 360.0, 240.0]",-0.2,-0.2,0.0,-0.2
"[280.0, 200.0, 320.0, 240.0]",-0.236,-0.2,-0.2,-0.2
"[320.0, 120.0, 360.0, 160.0]",-0.396,-0.36000000000000004,-0.2,-0.396
"[280.0, 240.0, 320.0, 280.0]",0.0,0.0,-0.2,0.0
"[320.0, 240.0, 360.0, 280.0]",-0.2,-0.2,-0.2,0.0
"[320.0, 280.0, 360.0, 320.0]",0.0,-0.2,-0.2,0.0
"[320.0, 320.0, 360.0, 360.0]",0.0,0.0,0.0,10.0
