,total_reward
0,-201
1,-80
2,-89
3,-201
4,-201
5,-5
6,-201
7,-201
8,-201
9,-210
10,-188
11,-201
12,-201
13,-158
14,-201
15,-201
16,-226
17,-192
18,-52
19,-201
20,-139
21,-201
22,-201
23,-27
24,-201
25,-201
26,-39
27,-201
28,-99
29,-16
30,-44
31,-201
32,-201
33,-201
34,-25
35,-17
36,-201
37,-13
38,-28
39,-201
40,-7
41,-201
42,-201
43,-201
44,-201
45,-201
46,-201
47,-162
48,-248
49,-14
50,9
51,-2
52,24
53,-2
54,-201
55,-1
56,-201
57,-7
58,-151
59,-9
60,-201
61,21
62,12
63,-201
64,-1
65,25
66,13
67,-7
68,16
69,5
70,-4
71,-201
72,18
73,8
74,-119
75,-1
76,-201
77,5
78,26
79,-201
80,-4
81,-201
82,26
83,-201
84,-6
85,-201
86,21
87,26
88,-201
89,14
90,15
91,-201
92,18
93,-201
94,15
95,18
96,-201
97,-201
98,-157
99,15
100,-224
101,14
102,-201
103,4
104,29
105,32
106,23
107,23
108,16
109,20
110,-201
111,26
112,27
113,16
114,28
115,21
116,20
117,31
118,30
119,30
120,20
121,26
122,-128
123,29
124,-201
125,28
126,31
127,-167
128,26
129,29
130,30
131,28
132,30
133,16
134,31
135,29
136,-66
137,32
138,31
139,29
140,25
141,33
142,34
143,30
144,31
145,28
146,-201
147,33
148,34
149,25
150,33
151,32
152,29
153,33
154,34
155,33
156,34
157,33
158,32
159,31
160,33
161,30
162,34
163,34
164,32
165,33
166,33
167,32
168,33
169,32
170,34
171,32
172,32
173,34
174,32
175,32
176,33
177,33
178,34
179,34
180,32
181,34
182,30
183,33
184,32
185,33
186,34
187,34
188,34
189,32
190,33
191,32
192,34
193,34
194,33
195,30
196,30
197,-201
198,34
199,34
200,32
201,34
202,31
203,34
204,33
205,-201
206,-201
207,33
208,32
209,32
210,33
211,33
212,28
213,34
214,34
215,33
216,34
217,-201
218,34
219,34
220,29
221,32
222,32
223,34
224,34
225,-201
226,31
227,33
228,30
229,34
230,31
231,32
232,34
233,34
234,33
235,30
236,30
237,32
238,33
239,31
240,34
241,32
242,31
243,34
244,32
245,34
246,31
247,30
248,34
249,34
250,34
251,34
252,34
253,34
254,34
255,34
256,32
257,34
258,34
259,32
260,33
261,33
262,32
263,34
264,29
265,32
266,33
267,-159
268,32
269,34
270,29
271,34
272,-177
273,24
274,31
275,34
276,29
277,33
278,34
279,32
280,30
281,31
282,34
283,34
284,32
285,34
286,30
287,33
288,32
289,34
290,34
291,32
292,34
293,30
294,33
295,34
296,32
297,34
298,30
299,32
300,-201
301,30
302,32
303,33
304,33
305,33
306,33
307,33
308,34
309,34
310,30
311,32
312,28
313,33
314,31
315,34
316,33
317,32
318,33
319,33
320,33
321,34
322,34
323,33
324,34
325,33
326,34
327,32
328,34
329,30
330,32
331,29
332,31
333,30
334,30
335,32
336,-201
337,34
338,30
339,-132
340,27
341,34
342,33
343,29
344,34
345,33
346,31
347,-198
348,34
349,32
350,31
351,29
352,34
353,31
354,33
355,34
356,34
357,32
358,29
359,34
360,29
361,27
362,31
363,32
364,33
365,34
366,28
367,-201
368,31
369,34
370,34
371,34
372,30
373,34
374,31
375,28
376,30
377,34
378,34
379,32
380,32
381,33
382,-73
383,34
384,34
385,34
386,33
387,31
388,30
389,33
390,28
391,33
392,-118
393,32
394,31
395,34
396,32
397,34
398,34
399,32
400,26
401,32
402,34
403,34
404,31
405,30
406,31
407,30
408,31
409,33
410,33
411,33
412,33
413,32
414,32
415,-138
416,34
417,32
418,31
419,33
420,34
421,30
422,34
423,33
424,30
425,32
426,33
427,32
428,33
429,34
430,29
431,32
432,33
433,34
434,31
435,34
436,29
437,30
438,34
439,34
440,32
441,33
442,33
443,34
444,32
445,27
446,32
447,33
448,33
449,32
450,-201
451,30
452,34
453,32
454,34
455,32
456,34
457,34
458,34
459,33
460,34
461,31
462,34
463,31
464,34
465,31
466,34
467,29
468,34
469,34
470,27
471,34
472,33
473,32
474,30
475,29
476,34
477,31
478,31
479,34
480,32
481,34
482,32
483,32
484,34
485,32
486,34
487,34
488,31
489,33
490,32
491,34
492,28
493,32
494,31
495,33
496,28
497,31
498,32
499,29
500,32
501,34
502,34
503,30
504,34
505,33
506,31
507,34
508,33
509,32
510,33
511,34
512,32
513,31
514,30
515,34
516,34
517,32
518,32
519,31
520,33
521,32
522,34
523,-117
524,32
525,32
526,34
527,32
528,34
529,32
530,26
531,33
532,30
533,34
534,33
535,32
536,-201
537,34
538,30
539,31
540,33
541,34
542,32
543,32
544,34
545,34
546,32
547,33
548,32
549,29
550,34
551,34
552,34
553,30
554,34
555,33
556,32
557,31
558,30
559,32
560,34
561,27
562,32
563,33
564,34
565,32
566,-201
567,34
568,31
569,30
570,34
571,32
572,34
573,32
574,29
575,31
576,33
577,27
578,31
579,34
580,31
581,32
582,33
583,33
584,33
585,33
586,33
587,33
588,33
589,34
590,33
591,33
592,33
593,33
594,29
595,34
596,34
597,34
598,32
599,34
