,0,1,2,3
"[0.0, 0.0, 40.0, 40.0]",-6.654309775786712,-6.881453039850467,-3.5640015320060114,-5.44350193772423
"[0.0, 40.0, 40.0, 80.0]",-6.560549778988144,-6.8027604494796865,-7.488754359684361,-6.561446887592694
"[40.0, 40.0, 80.0, 80.0]",-9.428047437600915,-9.422717756163786,-9.422526513675983,-9.426536299989282
"[40.0, 80.0, 80.0, 120.0]",-9.41539247489073,-9.418541403690169,-9.413135743727405,-9.415065156386095
"[40.0, 120.0, 80.0, 160.0]",-9.413137157614246,-9.414284279643425,-9.406272933262468,-9.40717065511831
"[80.0, 120.0, 120.0, 160.0]",-9.405134904412535,-9.403291267017558,-9.396359198510298,-9.401680705376313
"[80.0, 80.0, 120.0, 120.0]",-9.397820307251944,-9.401067943780744,-9.407574990280416,-9.40613812823379
"[80.0, 160.0, 120.0, 200.0]",-9.402454472341034,-9.403793340451546,-9.398479651745625,-9.420678806824458
"[120.0, 80.0, 160.0, 120.0]",-9.39990360139463,-9.407015597884808,-9.400211695402099,-9.400810608498485
"[160.0, 80.0, 200.0, 120.0]",-9.401346118495006,-9.394960889559552,-9.390340913009592,-9.401953401082837
"[120.0, 120.0, 160.0, 160.0]",-9.397343133861686,-9.403103695288225,-9.398287995449179,-9.399539944681765
"[160.0, 120.0, 200.0, 160.0]",-9.39534170271147,-9.399592422209068,-9.388890487280996,-9.401003693337062
"[160.0, 160.0, 200.0, 200.0]",-9.407125273106889,-10.1938861721254,-9.467858918233006,-9.407544418552046
"[160.0, 200.0, 200.0, 240.0]",-9.408371595238288,-12.86987769596989,-9.405898341409577,-9.420273784909856
"[200.0, 200.0, 240.0, 240.0]",-9.531308791654421,-39.51424,-12.537888508904778,-9.407028140330612
"[200.0, 160.0, 240.0, 200.0]",-9.36636514493643,-11.698551400352146,-9.354087601056085,-9.352402394648822
terminal,0.0,0.0,0.0,0.0
"[40.0, 0.0, 80.0, 40.0]",-3.8393979037692403,-8.83266499519309,-2.1898955350636062,-4.707662939431434
"[80.0, 0.0, 120.0, 40.0]",-4.365013466620637,-3.186688766187519,-1.1316488409079912,-5.385702870615119
"[40.0, 160.0, 80.0, 200.0]",-9.41238347178681,-9.415896765959367,-9.416069168747718,-9.420512475027763
"[120.0, 160.0, 160.0, 200.0]",-9.394504167796741,-9.399997023020166,-9.417099810115365,-9.40196929954469
"[80.0, 200.0, 120.0, 240.0]",-9.408589814812844,-9.409617614487471,-9.404019863845477,-9.414350920568564
"[80.0, 240.0, 120.0, 280.0]",-9.412140367595706,-9.419630424566607,-9.402811054938576,-9.40955537696834
"[40.0, 240.0, 80.0, 280.0]",-9.40909707102922,-9.412434863774562,-9.410868210298037,-9.418442589138158
"[120.0, 200.0, 160.0, 240.0]",-9.406016143054863,-9.404241567460192,-9.402557021198817,-9.409945250930466
"[120.0, 240.0, 160.0, 280.0]",-9.396676743469046,-9.398943311115909,-9.398574168187253,-9.400109957938698
"[160.0, 240.0, 200.0, 280.0]",-9.399586100074783,-10.28069100817072,-36.8928,-9.384726737562213
"[40.0, 200.0, 80.0, 240.0]",-9.40769679201231,-9.405259407734162,-9.411750046875419,-9.411964838713716
"[200.0, 120.0, 240.0, 160.0]",-9.375527151181965,-9.37193532598125,-9.391432823614366,-9.385608238937845
