,total_reward
0,-85
1,-143
2,-220
3,-201
4,-98
5,-201
6,-201
7,-200
8,-201
9,-201
10,-201
11,-46
12,-201
13,-201
14,-87
15,-201
16,-201
17,-201
18,-201
19,-201
20,-201
21,-8
22,-201
23,-201
24,-31
25,-22
26,-123
27,-201
28,-201
29,-17
30,-102
31,-37
32,-201
33,-41
34,-201
35,-12
36,-201
37,-127
38,-201
39,-18
40,-67
41,-211
42,-15
43,7
44,14
45,-201
46,-15
47,-2
48,-201
49,-201
50,-201
51,9
52,-3
53,-201
54,-6
55,-201
56,5
57,-6
58,-201
59,23
60,3
61,-201
62,-8
63,16
64,-177
65,21
66,-201
67,-201
68,8
69,-201
70,-8
71,-201
72,14
73,7
74,-201
75,7
76,-201
77,-201
78,14
79,-110
80,20
81,-201
82,-201
83,5
84,-201
85,10
86,16
87,-96
88,15
89,11
90,-201
91,-201
92,20
93,14
94,-201
95,19
96,-201
97,-201
98,-201
99,19
100,9
101,16
102,21
103,22
104,27
105,26
106,15
107,-201
108,8
109,-201
110,21
111,14
112,23
113,17
114,27
115,32
116,-201
117,26
118,26
119,16
120,-201
121,-201
122,-201
123,23
124,30
125,22
126,27
127,29
128,-201
129,26
130,25
131,28
132,23
133,27
134,32
135,33
136,29
137,-201
138,30
139,32
140,29
141,25
142,34
143,30
144,31
145,28
146,28
147,32
148,-201
149,29
150,-201
151,32
152,28
153,-201
154,33
155,32
156,28
157,-201
158,34
159,29
160,30
161,33
162,32
163,-201
164,32
165,32
166,32
167,31
168,28
169,32
170,32
171,30
172,34
173,32
174,33
175,30
176,34
177,30
178,32
179,33
180,34
181,31
182,34
183,27
184,33
185,31
186,34
187,29
188,33
189,32
190,32
191,32
192,33
193,33
194,34
195,33
196,32
197,34
198,34
199,34
200,32
201,32
202,33
203,32
204,30
205,34
206,33
207,34
208,33
209,33
210,34
211,34
212,33
213,34
214,34
215,33
216,34
217,31
218,29
219,31
220,34
221,32
222,-201
223,34
224,34
225,28
226,32
227,31
228,32
229,30
230,34
231,34
232,34
233,33
234,31
235,34
236,34
237,30
238,32
239,-201
240,33
241,31
242,29
243,31
244,34
245,33
246,34
247,-201
248,32
249,28
250,27
251,33
252,33
253,30
254,32
255,34
256,32
257,34
258,32
259,32
260,34
261,34
262,33
263,34
264,33
265,31
266,34
267,34
268,32
269,32
270,32
271,33
272,32
273,31
274,34
275,27
276,32
277,33
278,32
279,27
280,30
281,33
282,31
283,34
284,-201
285,33
286,34
287,34
288,33
289,30
290,32
291,31
292,31
293,34
294,33
295,33
296,31
297,26
298,32
299,33
300,33
301,30
302,34
303,31
304,32
305,34
306,31
307,34
308,34
309,31
310,-201
311,34
312,25
313,29
314,31
315,30
316,32
317,34
318,31
319,29
320,34
321,30
322,34
323,31
324,31
325,29
326,33
327,33
328,31
329,33
330,34
331,34
332,32
333,31
334,32
335,22
336,34
337,32
338,30
339,34
340,30
341,31
342,34
343,34
344,32
345,-82
346,32
347,34
348,30
349,28
350,32
351,34
352,30
353,31
354,34
355,31
356,34
357,33
358,34
359,33
360,33
361,30
362,33
363,30
364,33
365,29
366,27
367,32
368,32
369,32
370,34
371,32
372,32
373,32
374,33
375,33
376,34
377,33
378,34
379,34
380,33
381,34
382,-201
383,33
384,32
385,28
386,33
387,34
388,32
389,33
390,34
391,32
392,30
393,-201
394,31
395,32
396,33
397,33
398,34
399,33
400,33
401,33
402,33
403,31
404,32
405,32
406,31
407,32
408,34
409,34
410,32
411,34
412,34
413,34
414,33
415,34
416,28
417,34
418,32
419,33
420,32
421,33
422,33
423,34
424,32
425,30
426,32
427,33
428,33
429,34
430,32
431,25
432,-201
433,32
434,33
435,34
436,34
437,28
438,34
439,33
440,34
441,34
442,34
443,32
444,33
445,27
446,32
447,34
448,32
449,32
450,30
451,30
452,32
453,33
454,32
455,31
456,32
457,32
458,31
459,32
460,34
461,33
462,34
463,29
464,34
465,32
466,31
467,31
468,32
469,32
470,33
471,33
472,32
473,32
474,34
475,34
476,33
477,31
478,30
479,34
480,27
481,34
482,31
483,32
484,34
485,30
486,32
487,34
488,31
489,32
490,31
491,31
492,34
493,34
494,-201
495,34
496,33
497,32
498,24
499,34
500,34
501,32
502,32
503,32
504,30
505,34
506,33
507,34
508,33
509,32
510,30
511,32
512,31
513,32
514,32
515,32
516,32
517,-201
518,34
519,34
520,32
521,34
522,33
523,33
524,31
525,33
526,34
527,33
528,32
529,32
530,34
531,33
532,34
533,34
534,34
535,34
536,33
537,30
538,32
539,33
540,34
541,33
542,33
543,33
544,32
545,34
546,34
547,34
548,-201
549,29
550,33
551,32
552,33
553,33
554,30
555,32
556,31
557,30
558,30
559,30
560,32
561,30
562,31
563,32
564,34
565,33
566,34
567,32
568,29
569,30
570,27
571,30
572,32
573,33
574,30
575,34
576,31
577,33
578,29
579,31
580,34
581,34
582,33
583,33
584,32
585,34
586,33
587,31
588,34
589,33
590,31
591,29
592,32
593,-120
594,33
595,30
596,34
597,34
598,28
599,29
